task,category,command,images,total_boxes,avg_boxes_per_img,avg_time_per_img,total_time
01_object_detection,backpack,/detect backpack,50,50,1.0,0.15,7.5
01_object_detection,bicycle,/detect bicycle,50,11,0.22,0.14,6.9
01_object_detection,book,/detect book,50,50,1.0,0.64,31.9
01_object_detection,bottle,/detect bottle,50,50,1.0,0.16,8.0
01_object_detection,car,/detect car,50,48,0.96,0.92,46.2
01_object_detection,cat,/detect cat,50,50,1.0,0.14,6.9
01_object_detection,cell_phone,/detect cell phone,50,50,1.0,0.18,8.8
01_object_detection,chair,/detect chair,50,50,1.0,0.16,7.9
01_object_detection,cup,/detect cup,50,47,0.94,0.17,8.5
01_object_detection,dog,/detect dog,50,50,1.0,0.15,7.4
01_object_detection,laptop,/detect laptop,50,50,1.0,1.46,72.8
01_object_detection,motorcycle,/detect motorcycle,50,47,0.94,0.19,9.3
01_object_detection,person,/detect person,50,50,1.0,0.17,8.6
01_object_detection,table,/detect table,50,48,0.96,0.16,7.9
01_object_detection,traffic_light,/detect traffic light,50,50,1.0,0.19,9.3
02_referring_comprehension,attribute,/ground the object with distinct color or attribute,50,50,1.0,0.24,12.2
02_referring_comprehension,counting,/detect all objects,50,47,0.94,0.36,18.2
02_referring_comprehension,spatial,/ground the object on the left side,50,50,1.0,0.25,12.6
03_gui_grounding,desktop,/gui the toolbar button,50,0,0.0,1.34,67.2
03_gui_grounding,mobile,/gui the main button,50,0,0.0,1.04,52.0
03_gui_grounding,web,/gui the navigation menu,50,0,0.0,1.57,78.3
04_text_ocr,chinese_doc,/text,31,34,1.1,0.15,4.6
04_text_ocr,english_doc,/text,50,3825,76.5,12.5,625.0
04_text_ocr,scene_text,/text,50,17618,352.36,30.29,1514.3
05_layout_grounding,document_cn,"/detect title, table, figure, paragraph",31,28,0.9,0.32,9.9
05_layout_grounding,document_en,"/detect title, table, figure, paragraph",50,110,2.2,0.7,35.2
05_layout_grounding,invoice_form,"/detect title, table, total, date",50,26,0.52,0.34,17.2
06_point_localization,fine_grained,/point the main object,50,0,0.0,0.11,5.4
